name	tot ms	bw gib
memcpy_ilp1_float_bsm2	27.0	1.55
memcpy_ilp1_float_bsm4	26.8	4.66
memcpy_ilp1_float_bsm6	32.4	7.71
memcpy_ilp1_float_bsm8	24.3	10.27
memcpy_ilp1_float_bsm10	19.8	12.62
memcpy_ilp1_float_bsm12	18.0	13.89
memcpy_ilp1_float_bsm14	18.8	13.30
memcpy_ilp1_float_bsm16	18.1	13.83
memcpy_l2_ilp1_float_bsm2	26.7	1.56
memcpy_l2_ilp1_float_bsm4	26.6	4.70
memcpy_l2_ilp1_float_bsm6	32.0	7.81
memcpy_l2_ilp1_float_bsm8	24.3	10.29
memcpy_l2_ilp1_float_bsm10	19.6	12.76
memcpy_l2_ilp1_float_bsm12	19.0	13.17
memcpy_l2_ilp1_float_bsm14	18.6	13.45
memcpy_l2_ilp1_float_bsm16	19.1	13.12
memcpy_l1_stride2_ilp1_float_bsm2	27.5	1.52
memcpy_l1_stride2_ilp1_float_bsm4	27.3	4.58
memcpy_l1_stride2_ilp1_float_bsm6	34.7	7.20
memcpy_l1_stride2_ilp1_float_bsm8	34.9	7.16
memcpy_l1_stride2_ilp1_float_bsm10	35.0	7.13
memcpy_l1_stride2_ilp1_float_bsm12	35.0	7.14
memcpy_l1_stride2_ilp1_float_bsm14	35.0	7.13
memcpy_l1_stride2_ilp1_float_bsm16	35.1	7.13
memcpy_l1_stride3_ilp1_float_bsm2	28.9	1.44
memcpy_l1_stride3_ilp1_float_bsm4	28.7	4.36
memcpy_l1_stride3_ilp1_float_bsm6	53.1	4.71
memcpy_l1_stride3_ilp1_float_bsm8	52.3	4.78
memcpy_l1_stride3_ilp1_float_bsm10	52.3	4.78
memcpy_l1_stride3_ilp1_float_bsm12	52.2	4.79
memcpy_l1_stride3_ilp1_float_bsm14	52.3	4.78
memcpy_l1_stride3_ilp1_float_bsm16	52.2	4.78
memcpy_l1_stride4_ilp1_float_bsm2	27.4	1.52
memcpy_l1_stride4_ilp1_float_bsm4	34.8	3.60
memcpy_l1_stride4_ilp1_float_bsm6	69.6	3.59
memcpy_l1_stride4_ilp1_float_bsm8	69.6	3.59
memcpy_l1_stride4_ilp1_float_bsm10	69.7	3.59
memcpy_l1_stride4_ilp1_float_bsm12	70.3	3.56
memcpy_l1_stride4_ilp1_float_bsm14	69.6	3.59
memcpy_l1_stride4_ilp1_float_bsm16	69.6	3.59
memcpy_l1_stride8_ilp1_float_bsm2	27.5	1.52
memcpy_l1_stride8_ilp1_float_bsm4	69.9	1.79
memcpy_l1_stride8_ilp1_float_bsm6	139.7	1.79
memcpy_l1_stride8_ilp1_float_bsm8	139.6	1.79
memcpy_l1_stride8_ilp1_float_bsm10	139.6	1.79
memcpy_l1_stride8_ilp1_float_bsm12	146.7	1.70
memcpy_l1_stride8_ilp1_float_bsm14	146.1	1.71
memcpy_l1_stride8_ilp1_float_bsm16	142.6	1.75
memcpy_l1_stride16_ilp1_float_bsm2	27.6	1.51
memcpy_l1_stride16_ilp1_float_bsm4	70.4	1.77
memcpy_l1_stride16_ilp1_float_bsm6	144.9	1.73
memcpy_l1_stride16_ilp1_float_bsm8	148.0	1.69
memcpy_l1_stride16_ilp1_float_bsm10	145.7	1.72
memcpy_l1_stride16_ilp1_float_bsm12	151.4	1.65
memcpy_l1_stride16_ilp1_float_bsm14	139.3	1.80
memcpy_l1_stride16_ilp1_float_bsm16	139.3	1.79
