name	tot ms	bw gib
memcpy_ilp1_float_bsm4	4.2	29.81
memcpy_ilp1_float_bsm6	5.1	49.31
memcpy_ilp1_float_bsm8	4.7	53.20
memcpy_ilp1_float_bsm10	4.7	53.16
memcpy_ilp1_float_bsm12	4.7	53.18
memcpy_ilp1_float_bsm14	4.7	53.04
memcpy_ilp1_float_bsm16	4.7	53.13
memcpy_ilp2_float_bsm4	2.3	54.05
memcpy_ilp2_float_bsm6	2.8	89.35
memcpy_ilp2_float_bsm8	2.4	105.84
memcpy_ilp2_float_bsm10	2.4	105.81
memcpy_ilp2_float_bsm12	2.4	105.78
memcpy_ilp2_float_bsm14	2.4	105.66
memcpy_ilp2_float_bsm16	2.4	105.82
memcpy_ilp4_float_bsm4	1.3	97.16
memcpy_ilp4_float_bsm6	1.5	162.08
memcpy_ilp4_float_bsm8	1.2	208.20
memcpy_ilp4_float_bsm10	1.2	209.02
memcpy_ilp4_float_bsm12	1.2	208.23
memcpy_ilp4_float_bsm14	1.2	208.52
memcpy_ilp4_float_bsm16	1.2	209.21
memcpy_ilp8_float_bsm4	0.7	172.07
memcpy_ilp8_float_bsm6	1.0	261.97
memcpy_ilp8_float_bsm8	1.0	260.49
memcpy_ilp8_float_bsm10	1.0	261.73
memcpy_ilp8_float_bsm12	1.0	260.93
memcpy_ilp8_float_bsm14	1.0	261.73
memcpy_ilp8_float_bsm16	1.0	260.43
memcpy_ilp8_float2_bsm4	0.5	255.13
memcpy_ilp8_float2_bsm6	1.0	261.95
memcpy_ilp8_float2_bsm8	1.0	259.98
memcpy_ilp8_float2_bsm10	1.0	261.53
memcpy_ilp8_float2_bsm12	1.0	261.36
memcpy_ilp8_float2_bsm14	1.0	261.77
memcpy_ilp8_float2_bsm16	1.0	261.73
memcpy_ilp8_float4_bsm4	1.0	261.43
memcpy_ilp8_float4_bsm6	1.0	261.69
memcpy_ilp8_float4_bsm8	1.0	261.73
memcpy_ilp8_float4_bsm10	1.0	261.71
memcpy_ilp8_float4_bsm12	1.0	260.36
memcpy_ilp8_float4_bsm14	1.0	260.47
memcpy_ilp8_float4_bsm16	1.0	261.97
memcpy_l2_ilp1_float_bsm4	4.2	29.78
memcpy_l2_ilp1_float_bsm6	5.1	49.24
memcpy_l2_ilp1_float_bsm8	4.7	53.27
memcpy_l2_ilp1_float_bsm10	4.7	53.25
memcpy_l2_ilp1_float_bsm12	4.7	53.10
memcpy_l2_ilp1_float_bsm14	4.7	53.22
memcpy_l2_ilp1_float_bsm16	4.7	53.15
memcpy_l1_stride2_ilp1_float_bsm4	4.3	29.24
memcpy_l1_stride2_ilp1_float_bsm6	5.2	48.34
memcpy_l1_stride2_ilp1_float_bsm8	4.7	53.23
memcpy_l1_stride2_ilp1_float_bsm10	4.7	53.21
memcpy_l1_stride2_ilp1_float_bsm12	4.7	53.30
memcpy_l1_stride2_ilp1_float_bsm14	4.7	53.17
memcpy_l1_stride2_ilp1_float_bsm16	4.7	53.19
memcpy_l1_stride3_ilp1_float_bsm4	4.4	28.60
memcpy_l1_stride3_ilp1_float_bsm6	5.3	47.33
memcpy_l1_stride3_ilp1_float_bsm8	4.7	53.30
memcpy_l1_stride3_ilp1_float_bsm10	4.7	53.14
memcpy_l1_stride3_ilp1_float_bsm12	4.7	53.26
memcpy_l1_stride3_ilp1_float_bsm14	4.7	53.27
memcpy_l1_stride3_ilp1_float_bsm16	4.7	53.28
memcpy_l1_stride4_ilp1_float_bsm4	4.3	29.19
memcpy_l1_stride4_ilp1_float_bsm6	5.2	48.27
memcpy_l1_stride4_ilp1_float_bsm8	4.7	53.25
memcpy_l1_stride4_ilp1_float_bsm10	4.7	53.26
memcpy_l1_stride4_ilp1_float_bsm12	4.7	53.21
memcpy_l1_stride4_ilp1_float_bsm14	4.7	53.18
memcpy_l1_stride4_ilp1_float_bsm16	4.7	53.20
memcpy_l1_stride8_ilp1_float_bsm4	4.3	29.12
memcpy_l1_stride8_ilp1_float_bsm6	8.9	28.14
memcpy_l1_stride8_ilp1_float_bsm8	8.9	28.11
memcpy_l1_stride8_ilp1_float_bsm10	8.9	28.08
memcpy_l1_stride8_ilp1_float_bsm12	8.9	28.09
memcpy_l1_stride8_ilp1_float_bsm14	8.9	28.06
memcpy_l1_stride8_ilp1_float_bsm16	8.9	28.06
memcpy_l1_stride16_ilp1_float_bsm4	5.0	24.99
memcpy_l1_stride16_ilp1_float_bsm6	10.0	24.94
memcpy_l1_stride16_ilp1_float_bsm8	10.0	24.88
memcpy_l1_stride16_ilp1_float_bsm10	10.0	24.93
memcpy_l1_stride16_ilp1_float_bsm12	10.0	24.98
memcpy_l1_stride16_ilp1_float_bsm14	10.0	24.94
memcpy_l1_stride16_ilp1_float_bsm16	10.1	24.84
memcpy_l1_stride32_ilp1_float_bsm4	6.0	20.72
memcpy_l1_stride32_ilp1_float_bsm6	12.0	20.75
memcpy_l1_stride32_ilp1_float_bsm8	12.1	20.70
memcpy_l1_stride32_ilp1_float_bsm10	12.1	20.67
memcpy_l1_stride32_ilp1_float_bsm12	12.1	20.65
memcpy_l1_stride32_ilp1_float_bsm14	12.1	20.59
memcpy_l1_stride32_ilp1_float_bsm16	12.2	20.56
