name	tot ms	gflops
k1_g1024_b32_s0        	44.4	432
k1_g1024_b32_s4        	23.2	414
k1_g1024_b32_s8        	25.3	190
k1_g1024_b32_s12       	21.8	137
k1_g1024_b32_s16       	29.5	81
k1_g1024_b32_s20       	21.9	82
k1_g1024_b32_s24       	22.9	52
k1_g1024_b32_s28       	21.5	55
k1_g1024_b32_s32       	43.2	28
k1_g1024_b32_s36       	21.2	28
k1_g1024_b32_s40       	21.4	27
k1_g1024_b32_s44       	22.8	26
k1_g1024_b64_s0        	42.0	458
k1_g1024_b64_s4        	23.9	402
k1_g1024_b64_s8        	13.8	348
k1_g1024_b64_s12       	10.9	274
k1_g1024_b64_s16       	13.8	172
k1_g1024_b64_s20       	12.1	147
k1_g1024_b64_s24       	11.9	99
k1_g1024_b64_s28       	11.0	107
k1_g1024_b64_s32       	21.4	55
k1_g1024_b64_s36       	10.3	56
k1_g1024_b64_s40       	10.5	54
k1_g1024_b64_s44       	10.5	54
kernel_bsm2            	44.0	27
kernel_bsm4            	30.5	79
kernel_bsm6            	27.2	133
kernel_bsm8            	25.8	186
kernel_bsm10           	25.1	239
kernel_bsm12           	24.2	297
kernel_bsm14           	26.1	322
kernel_bsm16           	24.5	392
kernel_bsm18           	27.4	395
kernel_bsm20           	30.6	392
kernel_bsm22           	33.3	397
kernel_bsm24           	35.7	403
kernel_bsm26           	42.2	369
kernel_bsm28           	43.2	389
kernel_bsm30           	42.6	423
kernel_bsm32           	46.2	415
