name	tot ms	gflops
k1_g1024_b32_s0	44.5	431
k1_g1024_b32_s4	23.6	407
k1_g1024_b32_s8	24.9	193
k1_g1024_b32_s12	22.2	134
k1_g1024_b32_s16	30.7	78
k1_g1024_b32_s20	21.7	83
k1_g1024_b32_s24	21.8	55
k1_g1024_b32_s28	23.0	52
k1_g1024_b32_s32	43.3	28
k1_g1024_b32_s36	21.6	27
k1_g1024_b32_s40	22.4	26
k1_g1024_b32_s44	21.3	28
k1_g1024_b64_s0	42.1	456
k1_g1024_b64_s4	23.6	406
k1_g1024_b64_s8	12.6	382
k1_g1024_b64_s12	10.8	277
k1_g1024_b64_s16	14.0	170
k1_g1024_b64_s20	12.0	148
k1_g1024_b64_s24	10.7	110
k1_g1024_b64_s28	10.6	111
k1_g1024_b64_s32	20.1	58
k1_g1024_b64_s36	10.6	54
k1_g1024_b64_s40	10.7	53
k1_g1024_b64_s44	11.8	48
kernel_bsm2	41.3	29
kernel_bsm4	31.0	77
kernel_bsm6	27.1	133
kernel_bsm8	26.1	184
kernel_bsm10	25.3	237
kernel_bsm12	25.3	284
kernel_bsm14	25.0	337
kernel_bsm16	24.5	392
kernel_bsm18	29.2	369
kernel_bsm20	30.5	393
kernel_bsm22	33.9	389
kernel_bsm24	34.2	421
kernel_bsm26	39.1	399
kernel_bsm28	40.1	419
kernel_bsm30	43.4	415
kernel_bsm32	44.9	427
