name	tot ms	gflops
k1_fma_ilp1_32	103.7	20
k1_fma_ilp1_64	103.1	40
k1_fma_ilp1_96	103.1	60
k1_fma_ilp1_128	103.2	79
k1_fma_ilp1_160	51.7	99
k1_fma_ilp1_192	51.8	119
k1_fma_ilp1_256	52.0	158
k1_fma_ilp1_384	52.0	236
k1_fma_ilp1_512	26.1	313
k1_fma_ilp1_640	26.3	389
k1_fma_ilp1_768	27.2	452
k1_fma_ilp1_896	32.2	445
k1_fma_ilp1_1024	36.6	448
k1_fma_ilp2_32	52.2	39
k1_fma_ilp2_64	52.2	78
k1_fma_ilp2_96	52.3	118
k1_fma_ilp2_128	52.3	157
k1_fma_ilp2_160	26.8	191
k1_fma_ilp2_192	26.6	231
k1_fma_ilp2_256	26.5	309
k1_fma_ilp2_384	27.8	442
k1_fma_ilp2_512	17.4	470
k1_fma_ilp2_640	21.5	477
k1_fma_ilp2_768	25.8	477
k1_fma_ilp2_896	30.0	477
k1_fma_ilp2_1024	34.3	477
k1_fma_ilp3_32	35.5	58
k1_fma_ilp3_64	35.5	115
k1_fma_ilp3_96	35.5	173
k1_fma_ilp3_128	35.5	231
k1_fma_ilp3_160	19.3	265
k1_fma_ilp3_192	19.3	319
k1_fma_ilp3_256	19.3	425
k1_fma_ilp3_384	26.2	469
k1_fma_ilp3_512	17.1	479
k1_fma_ilp3_640	21.3	481
k1_fma_ilp3_768	25.6	481
k1_fma_ilp3_896	29.8	481
k1_fma_ilp3_1024	34.1	481
k1_fma_ilp4_32	26.2	78
k1_fma_ilp4_64	26.2	156
k1_fma_ilp4_96	26.2	234
k1_fma_ilp4_128	26.2	313
k1_fma_ilp4_160	17.5	292
k1_fma_ilp4_192	17.5	351
k1_fma_ilp4_256	17.5	467
k1_fma_ilp4_384	25.5	482
k1_fma_ilp4_512	17.0	482
k1_fma_ilp4_640	21.2	482
k1_fma_ilp4_768	25.5	483
k1_fma_ilp4_896	29.7	483
k1_fma_ilp4_1024	33.9	483
k1_fma_ilp6_32	17.5	117
k1_fma_ilp6_64	17.5	234
k1_fma_ilp6_96	17.5	351
k1_fma_ilp6_128	17.5	468
k1_fma_ilp6_160	17.0	301
k1_fma_ilp6_192	17.0	361
k1_fma_ilp6_256	17.1	480
k1_fma_ilp6_384	25.3	486
k1_fma_ilp6_512	16.9	485
k1_fma_ilp6_640	21.1	485
k1_fma_ilp6_768	25.3	486
k1_fma_ilp6_896	29.5	486
k1_fma_ilp6_1024	33.7	486
k1_fma_ilp8_32	17.3	118
k1_fma_ilp8_64	17.3	236
k1_fma_ilp8_96	17.3	354
k1_fma_ilp8_128	17.4	472
k1_fma_ilp8_160	17.0	300
k1_fma_ilp8_192	17.1	359
k1_fma_ilp8_256	17.1	479
k1_fma_ilp8_384	25.5	481
k1_fma_ilp8_512	16.8	486
k1_fma_ilp8_640	21.1	486
k1_fma_ilp8_768	25.3	486
k1_fma_ilp8_896	29.5	486
k1_fma_ilp8_1024	33.7	487

