name	tot ms	gflops
k1_fma_ilp1_128	198.5	41
k1_fma_ilp1_256	100.3	82
k1_fma_ilp1_384	100.6	122
k1_fma_ilp1_512	51.5	159
k1_fma_ilp1_640	63.3	162
k1_fma_ilp1_768	75.6	163
k1_fma_ilp1_896	90.8	158
k1_fma_ilp1_1024	101.9	161
k1_fma_ilp2_128	101.6	81
k1_fma_ilp2_256	52.2	157
k1_fma_ilp2_384	56.9	216
k1_fma_ilp2_512	35.4	231
k1_fma_ilp2_640	43.0	238
k1_fma_ilp2_768	50.4	244
k1_fma_ilp2_896	60.1	239
k1_fma_ilp2_1024	68.6	239
k1_fma_ilp3_128	69.1	119
k1_fma_ilp3_256	39.1	209
k1_fma_ilp3_384	54.2	227
k1_fma_ilp3_512	35.3	232
k1_fma_ilp3_640	41.1	249
k1_fma_ilp3_768	49.7	247
k1_fma_ilp3_896	58.3	246
k1_fma_ilp3_1024	66.4	247
k1_fma_ilp4_128	52.1	157
k1_fma_ilp4_256	34.2	240
k1_fma_ilp4_384	52.9	232
k1_fma_ilp4_512	34.8	235
k1_fma_ilp4_640	41.1	249
k1_fma_ilp4_768	48.7	252
k1_fma_ilp4_896	57.2	251
k1_fma_ilp4_1024	65.5	250
k1_fma_ilp6_128	34.2	240
k1_fma_ilp6_256	33.7	243
k1_fma_ilp6_384	48.9	251
k1_fma_ilp6_512	33.3	246
k1_fma_ilp6_640	41.0	250
k1_fma_ilp6_768	49.6	248
k1_fma_ilp6_896	56.9	252
k1_fma_ilp6_1024	64.7	253
k1_fma_ilp8_128	34.1	240
k1_fma_ilp8_256	33.8	243
k1_fma_ilp8_384	48.7	252
k1_fma_ilp8_512	33.1	248
k1_fma_ilp8_640	41.0	249
k1_fma_ilp8_768	48.3	254
k1_fma_ilp8_896	56.8	252
k1_fma_ilp8_1024	64.6	254
