kernel	time(ms)	GFLOPS
k1_nofma_128	24.447202682495117	41.88618277923521
k1_nofma_256	24.569988250732422	83.35372321307275
k1_nofma_384	24.61099624633789	124.82225299827564
k1_nofma_512	24.445295333862305	167.55780382518458
k1_nofma_640	31.03780746459961	164.9601056981764
k1_nofma_768	37.49728202819824	163.85187586075344
k1_nofma_896	44.58045959472656	160.7879341120096
k1_nofma_1024	49.462080001831055	165.62182584510674
k1_fma_128	24.608850479125977	41.611045622329655
k1_fma_256	24.442434310913086	83.78870835649977
k1_fma_384	25.36296844482422	121.12146914833615
k1_fma_512	24.651288986206055	166.15763996324776
k1_fma_640	30.616044998168945	167.2325736490854
k1_fma_768	36.604881286621094	167.84646702967459
k1_fma_896	44.046878814697266	162.73570779340284
k1_fma_1024	49.759864807128906	164.63067236521837
k1_fma_ilp2_128	12.473583221435547	82.09349164723422
k1_fma_ilp2_256	12.477636337280273	164.1336503678227
k1_fma_ilp2_384	14.468669891357422	212.32082997726
k1_fma_ilp2_512	17.87877082824707	229.09852357012363
k1_fma_ilp2_640	20.66779136657715	247.72845386274759
k1_fma_ilp2_768	24.718523025512695	248.55854023553923
k1_fma_ilp2_896	30.41863441467285	235.6450293686562
k1_fma_ilp2_1024	33.705711364746094	243.04486297145118
k1_fma_ilp3_128	9.108543395996094	112.42192691864727
k1_fma_ilp3_256	9.561538696289062	214.19146698583683
k1_fma_ilp3_384	13.108015060424805	234.3604264901144
k1_fma_ilp3_512	17.731428146362305	231.00226141910153
k1_fma_ilp3_640	20.359277725219727	251.48239879147002
k1_fma_ilp3_768	24.341106414794922	252.4125195995847
k1_fma_ilp3_896	28.972864151000977	247.40391431933574
k1_fma_ilp3_1024	33.41960906982422	245.1255483834147
k1_fma_ilp4_128	13.5	76
k1_fma_ilp4_256	11.8	174
k1_fma_ilp4_384	13.9	222
k1_fma_ilp4_512	18.1	226
k1_fma_ilp4_640	21.4	240
k1_fma_ilp4_768	25.0	246
k1_fma_ilp4_896	29.8	240
k1_fma_ilp4_1024	34.0	241
