name	tot ms	bw gib
memcpy_bsm2	83.7	0.50
memcpy_bsm4	85.4	1.46
memcpy_bsm6	103.7	2.41
memcpy_bsm8	78.7	3.18
memcpy_bsm10	65.1	3.84
memcpy_bsm12	55.9	4.47
memcpy_bsm14	50.9	4.91
memcpy_bsm16	47.7	5.24
memcpy_bsm18	45.6	5.49
memcpy_bsm21	43.9	5.70
memcpy_bsm23	42.4	5.90
memcpy_bsm25	41.8	5.98
memcpy_bsm28	41.2	6.07
memcpy_bsm32	41.0	6.09
memcpy_ilp2_bsm2	45.7	0.91
memcpy_ilp2_bsm4	46.9	2.67
memcpy_ilp2_bsm6	60.3	4.14
memcpy_ilp2_bsm8	48.5	5.15
memcpy_ilp2_bsm10	44.3	5.64
memcpy_ilp2_bsm12	41.7	5.99
memcpy_ilp2_bsm14	40.4	6.19
memcpy_ilp2_bsm16	40.6	6.16
memcpy_ilp2_bsm18	41.3	6.06
memcpy_ilp2_bsm21	40.7	6.14
memcpy_ilp2_bsm23	40.6	6.15
memcpy_ilp2_bsm25	41.2	6.07
memcpy_ilp2_bsm28	40.1	6.24
memcpy_ilp2_bsm32	40.6	6.16
