name	tot ms	bw gib
memcpy_ilp1_float_bsm4	10.3	24.25
memcpy_ilp1_float_bsm6	11.4	43.84
memcpy_ilp1_float_bsm8	8.4	59.82
memcpy_ilp1_float_bsm10	6.6	75.64
memcpy_ilp1_float_bsm12	5.6	88.67
memcpy_ilp1_float_bsm14	5.0	100.65
memcpy_ilp1_float_bsm16	4.6	109.88
memcpy_ilp1_float_bsm18	4.4	113.66
memcpy_ilp1_float_bsm20	4.4	114.78
memcpy_ilp1_float_bsm22	4.4	114.23
memcpy_ilp1_float_bsm24	4.4	113.74
memcpy_ilp1_float_bsm27	4.4	113.21
memcpy_ilp1_float_bsm29	4.4	113.49
memcpy_ilp1_float_bsm32	4.5	111.98
memcpy_ilp2_float_bsm4	5.0	50.31
memcpy_ilp2_float_bsm6	6.0	83.14
memcpy_ilp2_float_bsm8	4.5	112.35
memcpy_ilp2_float_bsm10	3.6	137.28
memcpy_ilp2_float_bsm12	3.2	156.84
memcpy_ilp2_float_bsm14	2.9	174.37
memcpy_ilp2_float_bsm16	2.6	189.97
memcpy_ilp2_float_bsm18	2.4	207.11
memcpy_ilp2_float_bsm20	2.4	210.35
memcpy_ilp2_float_bsm22	2.2	224.41
memcpy_ilp2_float_bsm24	2.3	219.62
memcpy_ilp2_float_bsm27	2.3	221.77
memcpy_ilp2_float_bsm29	2.3	220.71
memcpy_ilp2_float_bsm32	2.3	219.84
memcpy_ilp4_float_bsm4	2.8	90.83
memcpy_ilp4_float_bsm6	3.5	144.77
memcpy_ilp4_float_bsm8	2.9	171.36
memcpy_ilp4_float_bsm10	2.4	204.75
memcpy_ilp4_float_bsm12	2.2	224.85
memcpy_ilp4_float_bsm14	2.2	227.13
memcpy_ilp4_float_bsm16	2.2	229.80
memcpy_ilp4_float_bsm18	2.2	230.42
memcpy_ilp4_float_bsm20	2.1	234.33
memcpy_ilp4_float_bsm22	2.2	228.38
memcpy_ilp4_float_bsm24	2.2	230.13
memcpy_ilp4_float_bsm27	2.1	237.04
memcpy_ilp4_float_bsm29	2.2	230.74
memcpy_ilp4_float_bsm32	2.2	228.95
memcpy_ilp8_float_bsm4	1.7	148.14
memcpy_ilp8_float_bsm6	2.3	214.48
memcpy_ilp8_float_bsm8	2.2	229.44
memcpy_ilp8_float_bsm10	2.2	228.30
memcpy_ilp8_float_bsm12	2.1	235.65
memcpy_ilp8_float_bsm14	2.2	226.87
memcpy_ilp8_float_bsm16	2.2	226.92
memcpy_ilp8_float_bsm18	2.2	228.42
memcpy_ilp8_float_bsm20	2.2	226.29
memcpy_ilp8_float_bsm22	2.2	228.59
memcpy_ilp8_float_bsm24	2.1	234.64
memcpy_ilp8_float_bsm27	2.1	235.07
memcpy_ilp8_float_bsm29	2.7	182.16
memcpy_ilp8_float_bsm32	2.2	228.88
memcpy_ilp8_float2_bsm4	1.2	210.61
memcpy_ilp8_float2_bsm6	2.2	226.69
memcpy_ilp8_float2_bsm8	2.1	232.90
memcpy_ilp8_float2_bsm10	2.2	226.65
memcpy_ilp8_float2_bsm12	2.2	228.62
memcpy_ilp8_float2_bsm14	2.2	227.56
memcpy_ilp8_float2_bsm16	2.2	227.46
memcpy_ilp8_float2_bsm18	2.2	230.91
memcpy_ilp8_float2_bsm20	2.2	229.77
memcpy_ilp8_float2_bsm22	2.2	223.38
memcpy_ilp8_float2_bsm24	2.2	228.66
memcpy_ilp8_float2_bsm27	2.2	225.46
memcpy_ilp8_float2_bsm29	2.2	224.89
memcpy_ilp8_float2_bsm32	2.2	227.02
memcpy_ilp8_float4_bsm4	2.2	226.67
memcpy_ilp8_float4_bsm6	2.2	231.53
memcpy_ilp8_float4_bsm8	2.2	230.12
memcpy_ilp8_float4_bsm10	2.2	228.86
memcpy_ilp8_float4_bsm12	2.2	225.96
memcpy_ilp8_float4_bsm14	2.2	223.80
memcpy_ilp8_float4_bsm16	2.2	226.21
memcpy_ilp8_float4_bsm18	2.2	224.33
memcpy_ilp8_float4_bsm20	2.2	224.90
memcpy_ilp8_float4_bsm22	2.2	223.26
memcpy_ilp8_float4_bsm24	2.2	222.50
memcpy_ilp8_float4_bsm27	2.2	223.62
memcpy_ilp8_float4_bsm29	2.2	222.60
memcpy_ilp8_float4_bsm32	2.3	221.58
