name	time	flops
mm1_s32	0.1	0.7
mm1_s64	0.1	4.7
mm1_s128	0.1	28.4
mm1_s256	0.5	74.3
mm1_s384	1.2	97.0
mm1_s512	3.2	83.7
mm1_s640	6.2	84.2
mm1_s768	10.9	82.8
mm1_s896	17.6	81.7
mm1_s1024	26.2	82.1
mm2_s32	0.1	0.7
mm2_s64	0.1	6.0
mm2_s128	0.1	38.6
mm2_s256	0.3	113.2
mm2_s384	0.8	148.0
mm2_s512	1.8	150.9
mm2_s640	3.5	151.6
mm2_s768	6.5	138.9
mm2_s896	10.5	137.2
mm2_s1024	18.0	119.5
mm4_s32	0.1	0.7
mm4_s64	0.1	5.8
mm4_s128	0.1	51.7
mm4_s256	0.2	136.3
mm4_s384	0.6	177.7
mm4_s512	1.4	195.4
mm4_s640	2.7	197.2
mm4_s768	4.7	193.6
mm4_s896	8.0	179.1
mm4_s1024	12.0	178.9
mm8_s32	0.1	0.8
mm8_s64	0.1	5.9
mm8_s128	0.3	15.8
mm8_s256	0.2	150.5
mm8_s384	0.5	210.5
mm8_s512	1.2	223.9
mm8_s640	2.5	209.1
mm8_s768	4.4	207.0
mm8_s896	7.4	194.8
mm8_s1024	11.4	188.0
