name	time	flops
mm1_b1	0.0	2.1
mm1_b2	0.0	3.9
mm1_b4	0.0	7.8
mm1_b8	0.0	14.5
mm1_b16	0.1	19.7
mm1_b32	0.1	39.9
mm1_b64	0.1	54.9
mm1_b128	0.1	56.6
mm1_b256	0.3	66.7
mm1_b512	0.5	70.1
mm1_b640	0.6	73.5
mm1_b768	0.7	74.2
mm1_b896	0.8	75.2
mm1_b1024	0.9	75.1
mm2_b1	0.0	2.1
mm2_b2	0.0	4.1
mm2_b4	0.0	6.9
mm2_b8	0.0	15.7
mm2_b16	0.0	27.7
mm2_b32	0.0	46.0
mm2_b64	0.1	68.0
mm2_b128	0.1	71.2
mm2_b256	0.2	69.2
mm2_b512	0.4	76.3
mm2_b640	0.6	76.0
mm2_b768	0.6	78.0
mm2_b896	0.7	78.5
mm2_b1024	0.9	78.3
mm4_b1	0.0	2.1
mm4_b2	0.0	4.3
mm4_b4	0.0	8.2
mm4_b8	0.0	16.0
mm4_b16	0.0	29.0
mm4_b32	0.0	49.4
mm4_b64	0.1	75.6
mm4_b128	0.1	75.9
mm4_b256	0.2	69.5
mm4_b512	0.4	76.5
mm4_b640	0.6	75.8
mm4_b768	0.7	77.1
mm4_b896	0.8	77.6
mm4_b1024	0.9	77.8
mm8_b1	0.0	2.0
mm8_b2	0.0	4.2
mm8_b4	0.0	8.3
mm8_b8	0.0	15.9
mm8_b16	0.0	29.2
mm8_b32	0.0	49.2
mm8_b64	0.1	79.7
mm8_b128	0.1	74.6
mm8_b256	0.2	70.4
mm8_b512	0.4	76.4
mm8_b640	0.5	76.4
mm8_b768	0.6	77.8
mm8_b896	0.7	78.3
mm8_b1024	0.9	78.4
mm32_b1	0.0	1.5
mm32_b2	0.0	3.1
mm32_b4	0.0	6.3
mm32_b8	0.0	12.6
mm32_b16	0.0	24.6
mm32_b32	0.1	40.1
mm32_b64	0.1	55.4
mm32_b128	0.2	48.2
mm32_b256	0.3	60.8
mm32_b512	0.5	69.5
mm32_b640	0.6	71.4
mm32_b768	0.7	72.6
mm32_b896	0.8	74.1
mm32_b1024	0.9	74.6
