name	time	flops
mm1_b1	0.1	0.6
mm1_b2	0.1	1.3
mm1_b4	0.1	2.7
mm1_b8	0.1	4.7
mm1_b16	0.1	10.8
mm1_b32	0.1	17.4
mm1_b64	0.1	37.7
mm1_b128	0.1	70.0
mm1_b256	0.1	146.9
mm1_b512	0.1	242.7
mm1_b640	0.1	292.5
mm1_b768	0.2	306.1
mm1_b896	0.2	326.1
mm1_b1024	0.2	379.1
mm2_b1	0.1	0.6
mm2_b2	0.1	1.3
mm2_b4	0.1	2.7
mm2_b8	0.1	5.1
mm2_b16	0.1	10.9
mm2_b32	0.1	21.5
mm2_b64	0.1	28.8
mm2_b128	0.1	64.8
mm2_b256	0.1	112.5
mm2_b512	0.2	219.5
mm2_b640	0.2	261.7
mm2_b768	0.2	309.0
mm2_b896	0.1	403.7
mm2_b1024	0.2	443.6
mm4_b1	0.1	0.7
mm4_b2	0.1	1.3
mm4_b4	0.1	2.7
mm4_b8	0.1	4.9
mm4_b16	0.1	9.8
mm4_b32	0.1	20.3
mm4_b64	0.1	38.2
mm4_b128	0.1	76.5
mm4_b256	0.1	128.5
mm4_b512	0.1	371.8
mm4_b640	0.2	242.7
mm4_b768	0.1	363.4
mm4_b896	0.1	426.0
mm4_b1024	0.2	429.6
mm8_b1	0.1	0.6
mm8_b2	0.1	1.3
mm8_b4	0.1	2.5
mm8_b8	0.1	5.1
mm8_b16	0.1	8.1
mm8_b32	0.1	18.9
mm8_b64	0.1	34.1
mm8_b128	0.1	62.5
mm8_b256	0.1	140.5
mm8_b512	0.1	231.9
mm8_b640	0.2	276.5
mm8_b768	0.1	350.2
mm8_b896	0.1	409.4
mm8_b1024	0.1	473.1
mm32_b1	0.1	0.6
mm32_b2	0.1	1.3
mm32_b4	0.1	2.4
mm32_b8	0.1	5.5
mm32_b16	0.1	9.8
mm32_b32	0.1	18.5
mm32_b64	0.1	33.3
mm32_b128	0.1	60.0
mm32_b256	0.1	115.6
mm32_b512	0.2	201.0
mm32_b640	0.2	253.7
mm32_b768	0.2	282.7
mm32_b896	0.2	315.8
mm32_b1024	0.2	369.4
