name	time	flops
mm1_s32	0.1	0.6
mm1_s64	0.1	9.0
mm1_s128	0.1	71.6
mm1_s256	0.1	338.6
mm1_s384	0.2	591.5
mm1_s512	0.4	683.6
mm1_s640	0.7	736.5
mm1_s768	1.2	775.4
mm1_s896	1.9	767.0
mm1_s1024	2.7	788.1
mm2_s32	0.0	1.4
mm2_s64	0.0	12.4
mm2_s128	0.0	87.9
mm2_s256	0.1	441.7
mm2_s384	0.1	776.4
mm2_s512	0.3	994.6
mm2_s640	0.5	1079.2
mm2_s768	0.8	1180.1
mm2_s896	1.2	1159.5
mm2_s1024	1.8	1212.8
mm4_s32	0.0	1.6
mm4_s64	0.0	12.5
mm4_s128	0.0	90.4
mm4_s256	0.1	497.3
mm4_s384	0.1	840.7
mm4_s512	0.2	1127.9
mm4_s640	0.4	1262.6
mm4_s768	0.6	1444.7
mm4_s896	1.0	1454.4
mm4_s1024	1.4	1494.0
mm8_s32	0.0	1.6
mm8_s64	0.0	12.1
mm8_s128	0.0	87.4
mm8_s256	0.1	523.2
mm8_s384	0.1	1090.4
mm8_s512	0.2	1200.6
mm8_s640	0.3	1530.1
mm8_s768	0.6	1564.1
mm8_s896	0.9	1640.6
mm8_s1024	1.2	1733.2
